Player,Team,Amount,Year
Tim Paine,Pune Warriors India,22013100.0,2011.0
Abhimanyu Mithun,Royal Challengers Bangalore,21197800.0,2011.0
Jaydev Unadkat,Kolkata Knight Riders,20382500.0,2011.0
Paul Collingwood,Rajasthan Royals,20382500.0,2011.0
Sudeep Tyagi,Chennai Super Kings,19567200.0,2011.0
Ajit Agarkar,Delhi Daredevils,17121300.0,2011.0
Steve Smith,Pune Warriors India,16306000.0,2011.0
Dwayne Bravo,Chennai Super Kings,16306000.0,2011.0
Owais Shah,Kochi Tuskers Kerala,16306000.0,2011.0
Scott Styris,Chennai Super Kings,16306000.0,2011.0
Davy Jacobs,Mumbai Indians,15490700.0,2011.0
Ramesh Powar,Kochi Tuskers Kerala,14675400.0,2011.0
Wayne Parnell,Pune Warriors India,13044800.0,2011.0
Ryan ten Doeschate,Kolkata Knight Riders,12229500.0,2011.0
Jesse Ryder,Pune Warriors India,12229500.0,2011.0
Joginder Sharma,Chennai Super Kings,12229500.0,2011.0
Charl Langeveldt,Royal Challengers Bangalore,11414200.0,2011.0
Mohammad Kaif,Royal Challengers Bangalore,10598900.0,2011.0
Francois du Plessis,Chennai Super Kings,9783600.0,2011.0
Clint McKay,Mumbai Indians,8968300.0,2011.0
Nathan McCullum,Pune Warriors India,8153000.0,2011.0
James Franklin,Mumbai Indians,8153000.0,2011.0
Wriddhiman Saha,Chennai Super Kings,8153000.0,2011.0
Jerome Taylor,Pune Warriors India,8153000.0,2011.0
James Pattinson,Kolkata Knight Riders,8153000.0,2011.0
Alfonso Thomas,Pune Warriors India,8153000.0,2011.0
Nuwan Kulasekara,Chennai Super Kings,8153000.0,2011.0
Matthew Wade,Delhi Daredevils,8153000.0,2011.0
Dimitri Mascarenhas,Kings XI Punjab,8153000.0,2011.0
Colin Ingram,Delhi Daredevils,8153000.0,2011.0
Ben Hilfenhaus,Chennai Super Kings,8153000.0,2011.0
Pankaj Singh,Rajasthan Royals,7745350.0,2011.0
Rusty Theron,Deccan Chargers,6930050.0,2011.0
Suraj Randiv,Chennai Super Kings,6522400.0,2011.0
John Hastings,Kochi Tuskers Kerala,1630600.0,2011.0
Andrew McDonald,Delhi Daredevils,6522400.0,2011.0
Thissara Perera,Kochi Tuskers Kerala,6522400.0,2011.0
Michael Lumb,Deccan Chargers,6522400.0,2011.0
Michael Klinger,Kochi Tuskers Kerala,6114750.0,2011.0
Johan van der Wath,Royal Challengers Bangalore,4076500.0,2011.0
Moises Henriques,Mumbai Indians,4076500.0,2011.0
George Bailey,Chennai Super Kings,4076500.0,2011.0
