Player,Team,Amount,Year
Arjun Tendulkar,Mumbai Indians,37000.0,2022.0
Armaan Jaffer,Kings XI Punjab,12000.0,2016.0
Arshdeep Singh,Kings XI Punjab,25000.0,2019.0
Aryaman Vikram Birla,Rajasthan Royals,37000.0,2018.0
Aryan Juyal,Mumbai Indians,25000.0,2022.0
Asela Gunarathna,Mumbai Indians,37000.0,2017.0
Ashish Nehra,Chennai Super Kings,245000.0,2014.0
Ashish Nehra,Sunrisers Hyderabad,675000.0,2016.0
Ashish Reddy,Sunrisers Hyderabad,25000.0,2014.0
Ashok Dinda,Royal Challengers Bangalore,184000.0,2014.0
Ashok Dinda,Rising Pune Supergiants,61000.0,2016.0
Ashok Sharma,Kolkata Knight Riders,67000.0,2022.0
Ashton Turner,Rajasthan Royals,61000.0,2019.0
Ashwin Hebbar,Delhi Daredevils,25000.0,2022.0
Asif K M,Chennai Super Kings,49000.0,2018.0
Atharva Taide,Punjab Kings,25000.0,2022.0
Avesh Khan,Delhi Daredevils,86000.0,2018.0
Avesh Khan,Lucknow Super Giants,1227000.0,2022.0
Axar Rajesh Patel,Delhi Daredevils,613000.0,2019.0
Ayush Badoni,Lucknow Super Giants,25000.0,2022.0
B. Sai Sudharsan,Gujarat Titans,25000.0,2022.0
Baba Aparajith,Chennai Super Kings,12000.0,2014.0
Baba Aparajith,Rising Pune Supergiants,12000.0,2016.0
Baba Indrajith,Kolkata Knight Riders,25000.0,2022.0
Baltej Dhanda,Punjab Kings,25000.0,2022.0
Bandaru Ayyappa,Delhi Daredevils,25000.0,2019.0
Barinder Singh Saran,Rajasthan Royals,12000.0,2015.0
Barinder Singh Sran,Sunrisers Hyderabad,147000.0,2016.0
Barinder Singh Sran,Kings XI Punjab,270000.0,2018.0
Barinder Singh Sran,Mumbai Indians,417000.0,2019.0
Basil Thampi,Gujarat Lions,104000.0,2017.0
Basil Thampi,Sunrisers Hyderabad,117000.0,2018.0
Basil Thampi,Mumbai Indians,37000.0,2022.0
Ben Cutting,Rajasthan Royals,98000.0,2014.0
Ben Cutting,Sunrisers Hyderabad,61000.0,2016.0
Ben Cutting,Mumbai Indians,270000.0,2018.0
Ben Cutting,Kolkata Knight Riders,92000.0,2021.0
Ben Dunk,Mumbai Indians,25000.0,2014.0
Ben Dwarshuis,Kings XI Punjab,172000.0,2018.0
Ben Hilfenhaus,Chennai Super Kings,123000.0,2014.0
Ben Laughlin,Chennai Super Kings,18000.0,2013.0
Ben Laughlin,Sunrisers Hyderabad,37000.0,2017.0
Ben Laughlin,Rajasthan Royals,61000.0,2018.0
Benjamin Stokes,Rising Pune Supergiants,1778000.0,2017.0
Benjamin Stokes,Rajasthan Royals,1533000.0,2018.0
Benny Howell,Punjab Kings,49000.0,2022.0
Beuran Hendricks,Kings XI Punjab,221000.0,2014.0
Bhanuka Rajapaksa,Punjab Kings,61000.0,2022.0
Bhuvneshwar Kumar,Sunrisers Hyderabad,521000.0,2014.0
Bhuvneshwar Kumar,Sunrisers Hyderabad,515000.0,2022.0
Billy Stanlake,Royal Challengers Bangalore,37000.0,2017.0
Billy Stanlake,Sunrisers Hyderabad,61000.0,2018.0
Bipul Sharma,Sunrisers Hyderabad,25000.0,2018.0
Brad Hodge,Rajasthan Royals,294000.0,2014.0
Brad Hogg,Kolkata Knight Riders,61000.0,2015.0
Brendan Taylor,Sunrisers Hyderabad,37000.0,2014.0
Brendon McCullum,Chennai Super Kings,399000.0,2014.0
Brendon McCullum,Royal Challengers Bangalore,442000.0,2018.0
C Hari Nishaanth,Chennai Super Kings,25000.0,2021.0
C.Hari Nishaanth,Chennai Super Kings,25000.0,2022.0
C.M. Gautam,Mumbai Indians,25000.0,2014.0
C.M. Gautam,Delhi Daredevils,25000.0,2015.0
Cameron Delport,Kolkata Knight Riders,37000.0,2018.0
Carlos Brathwaite,Delhi Daredevils,515000.0,2016.0
Carlos Brathwaite,Sunrisers Hyderabad,245000.0,2018.0
Carlos Brathwaite,Kolkata Knight Riders,613000.0,2019.0
Chaitanya Bishnoi,Chennai Super Kings,25000.0,2018.0
Chama Milind,Sunrisers Hyderabad,12000.0,2014.0
Chama Milind,Delhi Daredevils,12000.0,2016.0
Chama Milind,Royal Challengers Bangalore,31000.0,2022.0
Chamika Karunaratne,Kolkata Knight Riders,61000.0,2022.0
Chetan Sakariya,Rajasthan Royals,147000.0,2021.0
Chetan Sakariya,Delhi Daredevils,515000.0,2022.0
Cheteshwar Pujara,Kings XI Punjab,233000.0,2014.0
Cheteshwar Pujara,Chennai Super Kings,61000.0,2021.0
Chirag Suri,Gujarat Lions,12000.0,2017.0
Chris Green,Kolkata Knight Riders,25000.0,2020.0
Chris Jordan,Sunrisers Hyderabad,61000.0,2017.0
Chris Jordan,Sunrisers Hyderabad,123000.0,2018.0
Chris Jordan,Kings XI Punjab,368000.0,2020.0
Chris Jordan,Chennai Super Kings,442000.0,2022.0
Chris Lynn,Kolkata Knight Riders,159000.0,2014.0
Chris Lynn,Kolkata Knight Riders,1177000.0,2018.0
Chris Lynn,Mumbai Indians,245000.0,2020.0
Chris Woakes,Kolkata Knight Riders,515000.0,2017.0
Chris Woakes,Royal Challengers Bangalore,908000.0,2018.0
Chris Woakes,Delhi Daredevils,184000.0,2020.0
Christopher Barnwell,Royal Challengers Bangalore,46000.0,2013.0
Christopher Gayle,Kings XI Punjab,245000.0,2018.0
Christopher Morris,Chennai Super Kings,575000.0,2013.0
Christopher Morris,Rajasthan Royals,172000.0,2015.0
Christopher Morris,Delhi Daredevils,859000.0,2016.0
Christopher Morris,Royal Challengers Bangalore,1227000.0,2020.0
Christopher Morris,Rajasthan Royals,1993000.0,2021.0
Clinton McKay,Sunrisers Hyderabad,92000.0,2013.0
Colin De Grandhomme,Royal Challengers Bangalore,270000.0,2018.0
Colin Ingram,Delhi Daredevils,785000.0,2019.0
Colin Munro,Kolkata Knight Riders,37000.0,2016.0
Colin Munro,Delhi Daredevils,233000.0,2018.0
Corey Anderson,Mumbai Indians,552000.0,2014.0
Corey Anderson,Delhi Daredevils,123000.0,2017.0
Dale Steyn,Gujarat Lions,282000.0,2016.0
Dale Steyn,Royal Challengers Bangalore,245000.0,2020.0
Dan Christian,Royal Challengers Bangalore,589000.0,2021.0
Daniel Christian,Royal Challengers Bangalore,92000.0,2013.0
Daniel Christian,Rising Pune Supergiants,123000.0,2017.0
Daniel Christian,Delhi Daredevils,184000.0,2018.0
Daniel Sams,Mumbai Indians,319000.0,2022.0
Darcy Short,Rajasthan Royals,491000.0,2018.0
Darren Bravo,Kolkata Knight Riders,61000.0,2017.0
Darren Sammy,Sunrisers Hyderabad,391000.0,2013.0
Darren Sammy,Sunrisers Hyderabad,429000.0,2014.0
Darren Sammy,Royal Challengers Bangalore,343000.0,2015.0
Darren Sammy,Kings XI Punjab,37000.0,2017.0
Darshan Nalkande,Kings XI Punjab,37000.0,2019.0
Darshan Nalkande,Gujarat Titans,25000.0,2022.0
